"location","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","population_2021","life_expectancy_2021"
"United Kingdom","GBR",2021-12-16,124656103,51393664,46923788,182.76,75.35,68.8,68207114,81.35
"United States","USA",2021-12-17,491892649,240775382,201916150,148.16,72.52,60.82,332915074,78.7
"Uruguay","URY",2021-12-17,6898431,2761525,2669605,197.94,79.24,76.6,3485152,77.61
"Uzbekistan","UZB",2021-10-20,24300975,12938201,5882086,71.61,38.13,17.33,33935765,70.9
"Vanuatu","VUT",2021-12-13,147609,100264,47345,46.94,31.88,15.06,314464,65.27
"Venezuela","VEN",2021-12-17,30049714,18393519,11608305,104.68,64.08,40.44,28704947,75.18
"Vietnam","VNM",2021-12-02,125955995,72731280,53224715,128.31,74.09,54.22,98168829,74.88
"Yemen","YEM",2021-12-02,786027,556652,366587,2.58,1.83,1.2,30490639,68.25
"Zambia","ZMB",2021-11-11,985443,806611,626900,5.21,4.26,3.31,18920657,64.61
"Zimbabwe","ZWE",2021-12-17,7092391,4038743,3053648,46.99,26.76,20.23,15092171,62.51
